AR,1.12,3.66,2.17,3.59,5.2,5.92
ARNT,1.02,0.28,2.12,3.81,2.06,6.1
ATF1,0.14,0.15,0.48,9.63,1.7,11.63
ATF2,1.3,0.18,0.82,11.42,1.48,5.54
ATF3,0.38,0.11,0.6,1.22,8.47,2.49
ATF4,1.28,1.5,1.7,1.34,1.99,1.5
CEBPA,0.54,0.41,2,5.26,2.82,16.15
CEBPB,0.69,0.94,1.3,3.1,2.21,5.17
CEBPG,0.29,0.99,0,0.67,0.67,1.51
CREB1,0.58,0.17,0,1.63,1.2,2.78
CREBBP,0.6,0.22,0.65,1.85,2.28,7.98
CTNNB1,0,0,0,1.83,2.2,5.39
DR1,0.16,0.11,0.45,1.85,1.43,4.62
E2F1,0.07,0.09,0.09,4.4,2.19,73.32
E2F6,0.4,0.19,4.57,3.8,3.22,4.88
EGR1,0.33,0.15,0.65,2.19,2.32,4.57
ELK1,0.22,0.18,0.7,3.37,1.9,7.92
ESR1,0.46,0.13,0.35,4.14,1.01,4
ETS1,0.4,0.21,0.83,1.82,2.14,3.82
ETS2,0.41,0.2,0.91,3.3,1.81,5.56
FOS,0.31,0.27,0.9,2.46,1.9,3.72
FOXA2,0.45,0.23,1.25,4.8,1.95,3.55
FOXG1,0.83,0.92,2.87,0.94,1.72,4.52
FOXO1,0.95,0.5,0.62,3.04,1.18,2.9
GATA1,0.35,0.19,1.21,4.05,2.94,5.11
GATA2,0.22,0.11,0.38,2.43,0.71,2.23
GATA3,2.47,0.49,2.35,6.16,4.08,10.73
GTF2B,0.16,0.22,0.15,2.37,1.82,14.95
GTF2F1,1.13,0.07,0.59,2.65,1.68,4.13
HAND1,1.1,0.27,2.79,5.17,2.43,11.7
HAND2,0.02,0.04,1.22,15.31,2.82,17.79
HDAC1,0.25,0.16,0.3,2.84,2.42,6.37
HIF1A,0.33,0.37,0.48,62.65,5.73,18.08
HNF1A,0.37,0.24,0.93,1.37,1.49,2.56
HNF4A,0.78,0.49,4.4,5.38,1.57,23.91
HOXA5,0.29,0.16,1.1,3.44,2.4,5.96
HSF1,0.78,0.39,0.88,1.46,5.77,2.83
ID1,1.67,0.54,0.91,2.66,3.07,3.87
IRF1,0.3,0.21,0.79,0.51,0.37,1.13
JUN,0.55,0.39,1.53,2.35,1.8,4.08
JUNB,17453.55,0.13,0.42,7.02,1.43,14.91
JUND,0.32,0.1,0.81,1.81,1.15,0
MAX,0.59,0.13,0.65,2.06,2.77,6.69
MEF2A,0.24,0.19,0.43,20.54,2.49,11.42
MEF2C,1.48,0.29,1.41,29.71,1.16,2.43
MYB,0.39,0.27,1.03,1.67,10.25,4.45
MYC,0.42,0.25,0,2.7,1.11,0
MYF5,0.27,0.21,1.05,2.03,2.2,6.12
MYOD1,0.69,0.13,6.13,3.75,1.32,13.56
NFAT5,0.2,0.3,0.37,1.41,3.2,13.29
NFATC1,0.18,0.07,0.94,2.59,1.8,5.86
NFATC2,0.31,0.66,1.13,1.53,1.47,3.86
NFATC3,0.71,0.26,53211.67,1.91,2.34,7.66
NFATC4,0.49,0.26,1.12,1.87,1.35,3.76
NFKB1,0.95,0.76,1.68,4.17,2.22,3.68
NFYB,0.06,0.05,0.25,49177.75,14.65,12.54
NR3C1,0.22,0.15,1.67,6.26,1.59,12.94
PAX6,0.45,0.03,1.71,1.48,2.85,3.02
POU2AF1,0.37,0.23,2.19,1.56,2.27,5.32
PPARA,0.63,0.34,1.12,1.89,1.89,3.02
PPARG,0.35,0.79,0.84,2.19,1.81,3.11
RB1,0.97,0.26,1.95,2.75,3.57,7.4
REL,0.43,0.44,1.27,4.43,2.19,4.28
RELA,0.24,0.22,0.51,0.43,0.4,0.42
RELB,0.46,0.08,0,1.56,1.98,2.91
SMAD1,0.56,0.3,1.41,4.23,5.02,12.01
SMAD4,0.67,0.35,1.82,1.69,17.75,2.7
SMAD5,0.33,0.2,0,3.84,1.95,4.71
SMAD9,0.38,0.48,0.59,2.41,1.1,4.47
SP1,0.65,3429.4,0.56,2.35,8.47,3.39
SP3,0.64,1475.7,0.98,1.7,1.71,11659.69
STAT1,0.45,0.43,1.05,2.27,1.48,2.34
STAT2,0.25,0.24,0.35,1.35,1.31,3.47
STAT3,0.83,0.1,0.58,1.01,3.48,1.92
STAT4,0.2,0.09,0.27,3.51,3.86,7.76
STAT5A,2.75,0.7,4.23,3.44,1.35,2.95
STAT5B,0.97,0.3,4.32,0.57,0.4,0.9
STAT6,0.61,0.18,1.11,0.47,0.26,0.6
TBP,0.03,0.02,0.1,2.12,4.79,12.78
TCF7L2,0.75,0.17,0.9,2.68,2.93,4.81
TFAP2A,0.24,0.11,0.6,2.71,3.5,4.22
TGIF1,0.44,0.2,3.3,0.17,0.13,0.22
TP53,0.39,118246.26,200244.76,2.61,2.68,1.66
YY1,2044.23,0.26,0.44,5.46,2.33,5.4
ACTB,0,0.01,0,31.78,49.9,0
B2M,0.96,0.18,0.95,0,0.84,1.93
GAPDH,0,0,0,22928775.9,42249092,7109476.99
HPRT1,1,1,1,1,1,1
RPLP0,0.01,0,0,10.85,11.31,38.42
